437: min fit = 0.00338359, time = 0
438: min fit = 0.0335726, time = 0
439: min fit = 0.0335726, time = 0
440: min fit = 0.0335726, time = 0
441: min fit = 0.0129419, time = 1
442: min fit = 0.00205327, time = 0
443: min fit = 0.00205327, time = 0
444: min fit = 0.00205327, time = 0
445: min fit = 0.00205327, time = 0
446: min fit = 0.00205327, time = 0
447: min fit = 0.00205327, time = 0
448: min fit = 0.00205327, time = 0
449: min fit = 0.00205327, time = 0
450: min fit = 0.00205327, time = 0
451: min fit = 0.00205327, time = 1
452: min fit = 0.00205327, time = 0
453: min fit = 0.00205327, time = 0
454: min fit = 0.00205327, time = 0
455: min fit = 0.00205327, time = 0
456: min fit = 0.00205327, time = 1
457: min fit = 0.00205327, time = 0
458: min fit = 0.0152262, time = 0
459: min fit = 0.0153375, time = 0
460: min fit = 0.0153533, time = 0
461: min fit = 0.0153533, time = 0
462: min fit = 0.00557308, time = 0
463: min fit = 0.0153533, time = 0
464: min fit = 0.0153533, time = 0
465: min fit = 0.0153533, time = 0
466: min fit = 0.0153533, time = 0
467: min fit = 0.0153533, time = 1
468: min fit = 0.0153533, time = 0
469: min fit = 0.0153533, time = 0
470: min fit = 0.0153533, time = 0
471: min fit = 0.0153533, time = 0
472: min fit = 0.0153533, time = 0
473: min fit = 0.0138104, time = 0
474: min fit = 0.00848069, time = 0
475: min fit = 0.00848069, time = 0
476: min fit = 0.000804488, time = 0
477: min fit = 0.00848069, time = 0
478: min fit = 0.00848069, time = 0
479: min fit = 0.00848069, time = 1
480: min fit = 0.00848069, time = 0
481: min fit = 0.00848069, time = 0
482: min fit = 0.00650405, time = 0
483: min fit = 0.00631089, time = 0
484: min fit = 0.0153533, time = 0
485: min fit = 0.0153533, time = 0
486: min fit = 0.0153533, time = 0
487: min fit = 0.0153533, time = 1
488: min fit = 0.0153533, time = 0
489: min fit = 0.0153533, time = 0
490: min fit = 0.00442755, time = 0
491: min fit = 0.00442755, time = 0
492: min fit = 0.00442755, time = 0
493: min fit = 0.00236989, time = 0
494: min fit = 0.00236989, time = 0
495: min fit = 0.00236989, time = 0
496: min fit = 0.00236989, time = 0
497: min fit = 0.00236989, time = 0
498: min fit = 0.00236989, time = 0
499: min fit = 0.00236989, time = 0
500: min fit = 0.00236989, time = 0
501: min fit = 0.00236989, time = 1
502: min fit = 0.00236989, time = 0
503: min fit = 0.00236989, time = 0
504: min fit = 0.00236989, time = 0
505: min fit = 0.000989791, time = 0
506: min fit = 0.000989791, time = 0
507: min fit = 0.000989791, time = 0
508: min fit = 0.00236989, time = 0
509: min fit = 0.00236989, time = 0
510: min fit = 0.00236989, time = 0
511: min fit = 0.00236989, time = 0
512: min fit = 0.00236989, time = 0
513: min fit = 0.00236989, time = 1
514: min fit = 0.00236989, time = 0
515: min fit = 0.00236989, time = 0
516: min fit = 0.00236989, time = 0
517: min fit = 0.00236989, time = 0
518: min fit = 0.00236989, time = 0
519: min fit = 0.00236989, time = 0
520: min fit = 0.00236989, time = 0
521: min fit = 0.00236989, time = 0
522: min fit = 0.00236989, time = 0
523: min fit = 0.00236989, time = 1
524: min fit = 0.00236989, time = 0
525: min fit = 0.00236989, time = 0
526: min fit = 0.00236989, time = 0
527: min fit = 0.00236989, time = 0
528: min fit = 0.00236989, time = 0
529: min fit = 0.00236989, time = 0
530: min fit = 0.00236989, time = 0
531: min fit = 0.00236989, time = 0
532: min fit = 0.00236989, time = 0
533: min fit = 0.00236989, time = 1
534: min fit = 0.00236989, time = 0
535: min fit = 0.00223717, time = 0
536: min fit = 0.00236989, time = 0
537: min fit = 0.00236989, time = 0
538: min fit = 0.00236989, time = 0
539: min fit = 0.00236989, time = 0
540: min fit = 0.00236989, time = 0
541: min fit = 0.00236989, time = 0
542: min fit = 0.000411884, time = 0
543: min fit = 0.000411884, time = 0
544: min fit = 0.000204747, time = 0
545: min fit = 0.000204747, time = 0
546: min fit = 0.000204747, time = 0
547: min fit = 0.000204747, time = 0
548: min fit = 0.000204747, time = 0
549: min fit = 0.000204747, time = 1
550: min fit = 0.000204747, time = 0
551: min fit = 0.000204747, time = 0
552: min fit = 0.000204747, time = 0
553: min fit = 0.00436944, time = 0
554: min fit = 0.00236989, time = 0
555: min fit = 0.00236989, time = 0
556: min fit = 0.00236989, time = 1
557: min fit = 0.00236989, time = 0
558: min fit = 0.00236989, time = 0
559: min fit = 0.00236989, time = 0
560: min fit = 0.00236989, time = 0
561: min fit = 0.00236989, time = 0
562: min fit = 0.00236989, time = 1
563: min fit = 0.00236989, time = 0
564: min fit = 0.00236989, time = 0
565: min fit = 0.00236989, time = 0
566: min fit = 0.00236989, time = 0
567: min fit = 0.00236989, time = 0
568: min fit = 0.00236989, time = 0
569: min fit = 0.00236989, time = 0
570: min fit = 0.00236989, time = 0
571: min fit = 0.00236989, time = 0
572: min fit = 0.00236989, time = 0
573: min fit = 0.00236989, time = 0
574: min fit = 0.00236989, time = 0
575: min fit = 0.00236989, time = 0
576: min fit = 0.00236989, time = 0
577: min fit = 0.00236989, time = 1
578: min fit = 0.00236989, time = 0
579: min fit = 0.00146799, time = 0
580: min fit = 0.00236989, time = 0
581: min fit = 0.00236989, time = 0
582: min fit = 0.00236989, time = 0
583: min fit = 0.00236989, time = 0
584: min fit = 0.00236989, time = 0
585: min fit = 0.00236989, time = 0
586: min fit = 0.00236989, time = 1
587: min fit = 0.00236989, time = 0
588: min fit = 0.00236989, time = 0
589: min fit = 0.00236989, time = 0
590: min fit = 0.00236989, time = 0
591: min fit = 0.00236989, time = 0
592: min fit = 0.00236989, time = 0
593: min fit = 0.00236989, time = 0
594: min fit = 0.00236989, time = 0
